texto,etiqueta
El documento tiene 10 páginas,neutral
La app requiere permisos de ubicación,neutral
El café está delicioso,positivo
El aula estaba muy desordenada Pésima experiencia!,negativo
Hoy fue un día cualquiera!,neutral
"En serio, Los precios son abusivos",negativo
El taller será virtual,neutral
Muy buena relación calidad-precio.,positivo
"La verdad, El archivo pesa 25 MB",neutral
"En serio, La vista desde el hotel fue espectacular :)",positivo
"En serio, No cumplió con lo prometido Pésima experiencia",negativo
"La verdad, El aula estaba muy desordenada Fatal",negativo
"La verdad, La ponencia fue clara y motivadora!",positivo
"La verdad, El sistema falla constantemente Pésima experiencia!",negativo
"La verdad, Recomiendo este libro, es inspirador",positivo
"En serio, El paquete llegó tal como se indicó!",neutral
La clase comenzó a las 8 en punto,neutral
"En serio, El internet del hotel era lentísimo Pésima experiencia!",negativo
La vista desde el hotel fue espectacular,positivo
"En serio, Buen servicio al cliente, resolvieron mi problema Recomendado",positivo
El envío llegó tarde y dañado,negativo
El curso tiene cuatro unidades,neutral
Mañana enviaré el informe final,neutral
El curso estuvo mal organizado No lo recomiendo,negativo
Se habilitó el nuevo módulo,neutral
"En serio, Todo salió mejor de lo que esperaba",positivo
El software se actualizó a la versión 2.0,neutral
"En serio, Me gustó mucho la clase de hoy Recomendado",positivo
"Recomiendo este libro, es inspirador",positivo
"La verdad, El sonido en el evento fue pésimo",negativo
"La verdad, Fue una pérdida de tiempo y dinero :)",negativo
La clase comenzó a las 8 en punto,neutral
Se habilitó el nuevo módulo.,neutral
"La verdad, Se publicaron los resultados del examen",neutral
"La verdad, El aula estaba muy desordenada",negativo
La reunión duró 30 minutos :),neutral
"La verdad, Muy buena relación calidad-precio Excelente atención",positivo
"La verdad, El envío llegó tarde y dañado Fatal",negativo
Mis amigos quedaron felices con el servicio Volvería,positivo
Mañana enviaré el informe final,neutral
Excelente atención en el banco hoy,positivo
Demasiados errores en la última actualización No lo recomiendo!,negativo
Hoy fue un día cualquiera,neutral
"La verdad, El producto llegó antes de lo esperado, genial",positivo
"La verdad, Mala experiencia, no volveré!",negativo
Todo salió mejor de lo que esperaba.,positivo
El software se actualizó a la versión 2.0!,neutral
El documento tiene 10 páginas,neutral
"En serio, El documento tiene 10 páginas.",neutral
"La verdad, Las inscripciones cierran el viernes",neutral
"En serio, El sonido en el evento fue pésimo",negativo
"La verdad, La comida llegó fría y sin sabor :)",negativo
El servicio fue terrible y el lugar sucio,negativo
"En serio, El envío llegó tarde y dañado No lo recomiendo",negativo
La atención fue amable y rápida.,positivo
"En serio, El sonido en el evento fue pésimo No lo recomiendo.",negativo
"La verdad, La película dura dos horas",neutral
El curso tiene cuatro unidades,neutral
El archivo pesa 25 MB.,neutral
"En serio, La interfaz es intuitiva y rápida Excelente atención.",positivo
"La verdad, Me decepcionó el soporte técnico No lo recomiendo",negativo
Me registré en la plataforma ayer,neutral
Mañana enviaré el informe final!,neutral
El restaurante tiene un ambiente acogedor,positivo
"En serio, Los precios son abusivos",negativo
Hoy fue un día cualquiera,neutral
"La verdad, El curso estuvo mal organizado Pésima experiencia :)",negativo
Se habilitó el nuevo módulo!,neutral
"En serio, Mala experiencia, no volveré",negativo
"La verdad, El archivo pesa 25 MB",neutral
"En serio, El archivo pesa 25 MB",neutral
El nuevo diseño está hermoso.,positivo
"La verdad, Excelente atención en el banco hoy",positivo
"La verdad, Se publicaron los resultados del examen!",neutral
El restaurante abre de lunes a viernes.,neutral
La clase comenzó a las 8 en punto,neutral
"Buen servicio al cliente, resolvieron mi problema Excelente atención",positivo
"La verdad, La música del evento estuvo increíble Volvería",positivo
Excelente atención en el banco hoy.,positivo
La reunión duró 30 minutos :),neutral
El restaurante tiene un ambiente acogedor :),positivo
El paquete llegó tal como se indicó :),neutral
Me registré en la plataforma ayer,neutral
Se publicaron los resultados del examen,neutral
El curso estuvo mal organizado Pésima experiencia :),negativo
La ponencia fue clara y motivadora Recomendado,positivo
No recomendaría este restaurante a nadie,negativo
La vista desde el hotel fue espectacular Excelente atención!,positivo
"La verdad, El envío llegó tarde y dañado!",negativo
La reunión duró 30 minutos.,neutral
Hoy fue un día cualquiera,neutral
"La verdad, Me decepcionó el soporte técnico.",negativo
La interfaz es intuitiva y rápida,positivo
La pantalla del teléfono se quebró al día siguiente No lo recomiendo,negativo
"La verdad, La reunión duró 30 minutos",neutral
El café está delicioso Volvería,positivo
"La verdad, Mala experiencia, no volveré.",negativo
"El producto llegó antes de lo esperado, genial",positivo
"La verdad, La reunión duró 30 minutos",neutral
Las inscripciones cierran el viernes,neutral
"En serio, Buen servicio al cliente, resolvieron mi problema",positivo
Excelente atención en el banco hoy Recomendado.,positivo
"En serio, Muy buena relación calidad-precio",positivo
"La verdad, El sistema falla constantemente",negativo
"En serio, Odio cuando se demora tanto el envío",negativo
Demasiados errores en la última actualización Pésima experiencia :),negativo
"La verdad, La app requiere permisos de ubicación",neutral
"La verdad, Los precios son abusivos Pésima experiencia",negativo
La ponencia fue clara y motivadora Volvería,positivo
Fue una pérdida de tiempo y dinero,negativo
El restaurante abre de lunes a viernes,neutral
El paquete llegó tal como se indicó,neutral
"La verdad, Recomiendo este libro, es inspirador!",positivo
La pantalla del teléfono se quebró al día siguiente,negativo
"La verdad, Mis amigos quedaron felices con el servicio",positivo
"En serio, No cumplió con lo prometido Fatal :)",negativo
El envío fue rápido y bien embalado,positivo
"Buen servicio al cliente, resolvieron mi problema",positivo
El servicio fue terrible y el lugar sucio :),negativo
Me registré en la plataforma ayer,neutral
"En serio, Los precios son abusivos No lo recomiendo",negativo
"La verdad, El curso estuvo mal organizado!",negativo
Me gustó mucho la clase de hoy,positivo
Mis amigos quedaron felices con el servicio,positivo
"La verdad, La interfaz es intuitiva y rápida :)",positivo
El restaurante tiene un ambiente acogedor Volvería,positivo
La pantalla del teléfono se quebró al día siguiente No lo recomiendo,negativo
"En serio, El servicio fue terrible y el lugar sucio Pésima experiencia",negativo
"La verdad, La cola fue eterna y nadie ayudaba",negativo
Odio cuando se demora tanto el envío,negativo
El envío llegó tarde y dañado!,negativo
El sistema falla constantemente,negativo
Me gustó mucho la clase de hoy :),positivo
"La verdad, Me encantó la película, fue divertida :)",positivo
"En serio, Me gustó mucho la clase de hoy Recomendado",positivo
"En serio, La comida llegó fría y sin sabor",negativo
"Mala experiencia, no volveré",negativo
"En serio, Mis amigos quedaron felices con el servicio Volvería",positivo
Me decepcionó el soporte técnico No lo recomiendo :),negativo
"La verdad, El internet del hotel era lentísimo",negativo
"En serio, La pantalla del teléfono se quebró al día siguiente No lo recomiendo",negativo
"Buen servicio al cliente, resolvieron mi problema",positivo
La app funciona perfecto en mi celular,positivo
"En serio, El café está delicioso",positivo
El sonido en el evento fue pésimo,negativo
Me decepcionó el soporte técnico,negativo
"En serio, Buen servicio al cliente, resolvieron mi problema",positivo
La interfaz es intuitiva y rápida,positivo
"En serio, Odio cuando se demora tanto el envío",negativo
"La verdad, El nuevo diseño está hermoso Volvería",positivo
"La verdad, El software se actualizó a la versión 2.0",neutral
"La verdad, El café está delicioso",positivo
La app requiere permisos de ubicación :),neutral
"La verdad, La cola fue eterna y nadie ayudaba",negativo
Las inscripciones cierran el viernes,neutral
La música del evento estuvo increíble,positivo
La clase comenzó a las 8 en punto,neutral
"En serio, No cumplió con lo prometido Pésima experiencia.",negativo
"En serio, La atención fue amable y rápida Recomendado",positivo
"La verdad, El curso estuvo excelente, aprendí bastante!",positivo
"En serio, El restaurante tiene un ambiente acogedor Volvería",positivo
"En serio, La atención al cliente fue grosera No lo recomiendo :)",negativo
La app se cuelga a cada rato :),negativo
"La verdad, La ponencia fue clara y motivadora Volvería",positivo
El curso tiene cuatro unidades :),neutral
La ponencia fue clara y motivadora,positivo
Las inscripciones cierran el viernes :),neutral
"La verdad, El sonido en el evento fue pésimo",negativo
"En serio, La atención fue amable y rápida Excelente atención.",positivo
Demasiados errores en la última actualización,negativo
"La verdad, Fue una pérdida de tiempo y dinero :)",negativo
"La verdad, La app funciona perfecto en mi celular Volvería",positivo
Fue una pérdida de tiempo y dinero,negativo
"La verdad, Me gustó mucho la clase de hoy :)",positivo
"Me encantó la película, fue divertida Volvería",positivo
Mis amigos quedaron felices con el servicio Excelente atención.,positivo
"Es una experiencia normal, nada especial",neutral
"La verdad, La pantalla del teléfono se quebró al día siguiente Fatal",negativo
Hoy fue un día cualquiera.,neutral
"La verdad, Mis amigos quedaron felices con el servicio",positivo
No recomendaría este restaurante a nadie.,negativo
"El producto llegó antes de lo esperado, genial :)",positivo
"La verdad, Se habilitó el nuevo módulo",neutral
"La verdad, El curso estuvo excelente, aprendí bastante",positivo
El taller será virtual :),neutral
No recomendaría este restaurante a nadie,negativo
El curso estuvo mal organizado :),negativo
"En serio, El envío llegó tarde y dañado",negativo
"La verdad, El café está delicioso Volvería",positivo
"En serio, El envío llegó tarde y dañado",negativo
La comida llegó fría y sin sabor :),negativo
La app funciona perfecto en mi celular Recomendado,positivo
Las inscripciones cierran el viernes,neutral
No cumplió con lo prometido,negativo
"En serio, Me gustó mucho la clase de hoy",positivo
"La verdad, El servicio fue terrible y el lugar sucio!",negativo
Las inscripciones cierran el viernes :),neutral
"En serio, Los precios son abusivos",negativo
"En serio, El servicio fue terrible y el lugar sucio No lo recomiendo",negativo
"En serio, La música del evento estuvo increíble Excelente atención",positivo
El internet del hotel era lentísimo!,negativo
"La verdad, La música del evento estuvo increíble",positivo
Me registré en la plataforma ayer,neutral
"La verdad, El nuevo diseño está hermoso :)",positivo
El pago se procesó correctamente,neutral
"La verdad, El envío fue rápido y bien embalado Excelente atención!",positivo
El sonido en el evento fue pésimo,negativo
"Es una experiencia normal, nada especial",neutral
El taller será virtual,neutral
"En serio, El curso estuvo excelente, aprendí bastante Excelente atención",positivo
El software se actualizó a la versión 2.0!,neutral
"En serio, Se habilitó el nuevo módulo!",neutral
El pago se procesó correctamente :),neutral
Mañana enviaré el informe final :),neutral
La película dura dos horas,neutral
La app se cuelga a cada rato,negativo
"En serio, Fue una pérdida de tiempo y dinero",negativo
"El producto llegó antes de lo esperado, genial!",positivo
Me gustó mucho la clase de hoy,positivo
Se habilitó el nuevo módulo,neutral
La app requiere permisos de ubicación,neutral
Me registré en la plataforma ayer,neutral
"En serio, La app requiere permisos de ubicación :)",neutral
"La verdad, El software se actualizó a la versión 2.0.",neutral
No recomendaría este restaurante a nadie Pésima experiencia,negativo
El restaurante tiene un ambiente acogedor Volvería,positivo
"La verdad, Mala experiencia, no volveré!",negativo
"En serio, La atención al cliente fue grosera",negativo
"En serio, El restaurante abre de lunes a viernes",neutral
Las inscripciones cierran el viernes,neutral
Estoy esperando más información,neutral
"En serio, Demasiados errores en la última actualización",negativo
El software se actualizó a la versión 2.0!,neutral
"En serio, El archivo pesa 25 MB",neutral
"La verdad, El curso estuvo mal organizado",negativo
"La verdad, La vista desde el hotel fue espectacular.",positivo
El pago se procesó correctamente,neutral
El envío llegó tarde y dañado,negativo
"La verdad, Muy buena relación calidad-precio",positivo
"El producto llegó antes de lo esperado, genial",positivo
Mañana enviaré el informe final,neutral
La cola fue eterna y nadie ayudaba Fatal,negativo
Me gustó mucho la clase de hoy,positivo
"La verdad, El internet del hotel era lentísimo",negativo
Las inscripciones cierran el viernes :),neutral
"En serio, La interfaz es intuitiva y rápida Recomendado.",positivo
Demasiados errores en la última actualización No lo recomiendo,negativo
"La verdad, Demasiados errores en la última actualización.",negativo
Estoy esperando más información.,neutral
"La verdad, La interfaz es intuitiva y rápida",positivo
La comida llegó fría y sin sabor Fatal,negativo
"La verdad, El restaurante abre de lunes a viernes",neutral
"En serio, El pago se procesó correctamente :)",neutral
"En serio, Odio cuando se demora tanto el envío.",negativo
"La verdad, El café está delicioso :)",positivo
Hoy fue un día cualquiera,neutral
La película dura dos horas,neutral
"La verdad, La app funciona perfecto en mi celular Excelente atención :)",positivo
El sistema falla constantemente :),negativo
La app se cuelga a cada rato,negativo
Estoy esperando más información!,neutral
El internet del hotel era lentísimo,negativo
"La verdad, El producto llegó antes de lo esperado, genial",positivo
"La verdad, Es una experiencia normal, nada especial",neutral
"Mala experiencia, no volveré",negativo
El sonido en el evento fue pésimo Pésima experiencia :),negativo
"La verdad, Estoy esperando más información!",neutral
El curso tiene cuatro unidades!,neutral
"En serio, El paquete llegó tal como se indicó!",neutral
No recomendaría este restaurante a nadie.,negativo
El envío fue rápido y bien embalado,positivo
"En serio, El sistema falla constantemente Pésima experiencia",negativo
Odio cuando se demora tanto el envío,negativo
"La verdad, Me encantó la película, fue divertida Volvería :)",positivo
Muy buena relación calidad-precio Excelente atención,positivo
Muy buena relación calidad-precio,positivo
El café está delicioso,positivo
"La verdad, La música del evento estuvo increíble Excelente atención",positivo
El nuevo diseño está hermoso :),positivo
El restaurante abre de lunes a viernes!,neutral
"En serio, La película dura dos horas",neutral
"Es una experiencia normal, nada especial.",neutral
El paquete llegó tal como se indicó,neutral
La app requiere permisos de ubicación,neutral
El internet del hotel era lentísimo No lo recomiendo :),negativo
Se habilitó el nuevo módulo,neutral
El internet del hotel era lentísimo Fatal!,negativo
El restaurante abre de lunes a viernes!,neutral
"La verdad, La ponencia fue clara y motivadora Excelente atención",positivo
El taller será virtual!,neutral
El curso tiene cuatro unidades,neutral
El pago se procesó correctamente,neutral
"La verdad, El producto llegó antes de lo esperado, genial Volvería.",positivo
Se publicaron los resultados del examen,neutral
"En serio, El curso estuvo excelente, aprendí bastante",positivo
Me registré en la plataforma ayer :),neutral
La pantalla del teléfono se quebró al día siguiente Fatal :),negativo
"En serio, La ponencia fue clara y motivadora.",positivo
"En serio, La comida llegó fría y sin sabor :)",negativo
"La verdad, El archivo pesa 25 MB",neutral
"La verdad, El aula estaba muy desordenada.",negativo
Estoy esperando más información,neutral
"En serio, El servicio fue terrible y el lugar sucio No lo recomiendo.",negativo
"En serio, El curso estuvo mal organizado",negativo
El taller será virtual,neutral
"La verdad, Me decepcionó el soporte técnico",negativo
El archivo pesa 25 MB,neutral
No cumplió con lo prometido.,negativo
"La verdad, La interfaz es intuitiva y rápida Volvería",positivo
"En serio, Me encantó la película, fue muy divertida",positivo
El nuevo diseño está hermoso,positivo
Se publicaron los resultados del examen,neutral
Mañana enviaré el informe final.,neutral
El documento tiene 10 páginas,neutral
"En serio, La app se cuelga a cada rato No lo recomiendo",negativo
La app funciona perfecto en mi celular,positivo
El curso tiene cuatro unidades,neutral
"La verdad, Me decepcionó el soporte técnico Pésima experiencia",negativo
La app se cuelga a cada rato,negativo
"En serio, La atención al cliente fue grosera Fatal",negativo
Hoy fue un día cualquiera :),neutral
El restaurante abre de lunes a viernes,neutral
"En serio, Hoy fue un día cualquiera",neutral
"En serio, Recomiendo este libro, es inspirador Recomendado",positivo
"En serio, El paquete llegó tal como se indicó",neutral
"Recomiendo este libro, es inspirador",positivo
La comida llegó fría y sin sabor,negativo
"Me encantó la película, fue divertida!",positivo
"El producto llegó antes de lo esperado, genial Recomendado",positivo
El taller será virtual,neutral
"Es una experiencia normal, nada especial.",neutral
"La verdad, La película dura dos horas",neutral
"La verdad, El envío fue rápido y bien embalado",positivo
"Es una experiencia normal, nada especial",neutral
Mañana enviaré el informe final.,neutral
"En serio, El documento tiene 10 páginas",neutral
"El curso estuvo excelente, aprendí bastante Excelente atención",positivo
El archivo pesa 25 MB!,neutral
El sistema falla constantemente :),negativo
El envío fue rápido y bien embalado,positivo
"En serio, No recomendaría este restaurante a nadie Pésima experiencia",negativo
"En serio, El aula estaba muy desordenada",negativo
"En serio, El producto llegó antes de lo esperado, genial Volvería",positivo
Se publicaron los resultados del examen :),neutral
Estoy esperando más información :),neutral
"En serio, Recomiendo este libro, es inspirador",positivo
El café está delicioso.,positivo
"En serio, Muy buena relación calidad-precio Excelente atención",positivo
"La verdad, Todo salió mejor de lo que esperaba.",positivo
"En serio, El curso estuvo excelente, aprendí bastante Volvería!",positivo
"La verdad, La atención fue amable y rápida",positivo
"En serio, La vista desde el hotel fue espectacular Volvería!",positivo
El paquete llegó tal como se indicó,neutral
El sonido en el evento fue pésimo.,negativo
Me decepcionó el soporte técnico,negativo
La app se cuelga a cada rato,negativo
Me registré en la plataforma ayer,neutral
La atención al cliente fue grosera.,negativo
La comida llegó fría y sin sabor,negativo
El pago se procesó correctamente,neutral
El aula estaba muy desordenada :),negativo
"En serio, El sonido en el evento fue pésimo.",negativo
"En serio, La ponencia fue clara y motivadora Excelente atención",positivo
Me decepcionó el soporte técnico :),negativo
"En serio, La música del evento estuvo increíble Excelente atención",positivo
"La verdad, Mis amigos quedaron felices con el servicio :)",positivo
"En serio, Fue una pérdida de tiempo y dinero No lo recomiendo",negativo
"En serio, El pago se procesó correctamente",neutral
"La verdad, No recomendaría este restaurante a nadie",negativo
"La verdad, El envío llegó tarde y dañado No lo recomiendo",negativo
El restaurante tiene un ambiente acogedor!,positivo
La cola fue eterna y nadie ayudaba Pésima experiencia.,negativo
"La verdad, La cola fue eterna y nadie ayudaba",negativo
"En serio, La clase comenzó a las 8 en punto",neutral
"En serio, La comida llegó fría y sin sabor No lo recomiendo",negativo
"Buen servicio al cliente, resolvieron mi problema Volvería!",positivo
"La verdad, La atención al cliente fue grosera No lo recomiendo :)",negativo
"Es una experiencia normal, nada especial",neutral
El software se actualizó a la versión 2.0,neutral
El curso estuvo mal organizado No lo recomiendo,negativo
"En serio, El café está delicioso Excelente atención",positivo
La atención al cliente fue grosera Pésima experiencia.,negativo
El nuevo diseño está hermoso Volvería :),positivo
El curso tiene cuatro unidades,neutral
El curso tiene cuatro unidades,neutral
Odio cuando se demora tanto el envío,negativo
La película dura dos horas,neutral
"En serio, El curso estuvo excelente, aprendí bastante Recomendado",positivo
